Postcode,Eastings,Northings
EN55DP,525566,196048
EN55EA,525749,196005
EN55EG,525758,196152
EN55EH,525609,196361
EN55EJ,525581,196321
EN55EL,525985,196114
EN55EU,525941,196241
EN55EX,525751,196205
EN55EY,525920,196264
EN55FS,524877,196580
EN55FZ,524554,196669
EN55HE,525701,196393
EN55HG,525801,196394
EN55HH,525838,196387
EN55HP,526243,196503
EN55HS,525937,196415
EN55HT,526196,196560
EN55HU,526306,196466
EN55HW,525969,196419
EN55HZ,525731,196328
EN55JA,526170,196454
EN55JB,526143,196360
EN55JN,525905,196360
EN55JQ,526122,196136
EN55JS,526153,196727
EN55JT,526213,196743
EN55JU,526269,196639
EN55JX,525049,196364
EN55JY,525027,196310
EN55JZ,525206,196402
EN55LA,525117,196484
EN55LD,525451,196541
EN55LJ,526244,196704
EN55LN,525318,196576
EN55LP,525421,196628
EN55LT,525329,196716
EN55LU,525464,196703
EN55LY,525573,196627
EN55NF,525704,196934
EN55NJ,525701,196689
EN55NR,525581,196847
EN55NY,525876,196888
EN55PG,525887,196560
EN55PR,524681,197188
EN55PU,524734,197535
EN55QH,525798,197029
EN55QQ,525680,197004
EN55QR,525792,196729
EN55QU,525763,196556
EN55QW,525744,196897
